model,ship_id,val_rows,R1,R3,R5,gallery_count,ship_max_day_fraction,ship_top3_day_fraction,majority_date_global_fraction,ship_concentration_bin,global_spike_bin,gallery_count_bin,Score
debug_ensemble_5normal,216,13,0.0,0.0,0.0,73,0.273972602739726,0.4794520547945205,0.082039911308204,25-50%,<=10%,Q3,0.0
debug_ensemble_5normal,217,6,0.0,0.0,0.16666666666666666,28,0.35714285714285715,0.9285714285714286,0.037347560975609755,25-50%,<=10%,Q1_low_count,0.03333333333333333
debug_ensemble_5normal,221,7,0.0,0.2857142857142857,0.2857142857142857,34,0.35294117647058826,0.8529411764705882,0.037694013303769404,25-50%,<=10%,Q1_low_count,0.14285714285714285
debug_ensemble_5normal,231,10,0.0,0.4,0.9,22,0.5454545454545454,1.0,0.06478658536585366,50-75%,<=10%,Q1_low_count,0.30000000000000004
debug_ensemble_5normal,237,6,0.0,0.0,0.16666666666666666,36,0.2777777777777778,0.4722222222222222,0.07095343680709534,25-50%,<=10%,Q1_low_count,0.03333333333333333
debug_ensemble_5normal,240,15,0.0,0.0,0.0,98,0.35714285714285715,0.7959183673469388,0.03277439024390244,25-50%,<=10%,Q4_high_count,0.0
debug_ensemble_5normal,241,6,0.0,0.0,0.0,43,0.13953488372093023,0.37209302325581395,0.0176697956929873,<=25%,<=10%,Q2,0.0
debug_ensemble_5normal,242,30,0.23333333333333334,0.5333333333333333,0.6,12,1.0,1.0,0.26859504132231404,>75%,20-50%,Q1_low_count,0.39666666666666667
debug_ensemble_5normal,243,11,0.0,0.0,0.0,65,0.24615384615384617,0.49230769230769234,0.04212860310421286,<=25%,<=10%,Q3,0.0
debug_ensemble_5normal,251,10,0.0,0.0,0.0,39,0.38461538461538464,0.8461538461538461,0.042682926829268296,25-50%,<=10%,Q2,0.0
debug_ensemble_5normal,254,16,0.0,0.0,0.0,83,0.27710843373493976,0.7228915662650602,0.6658595641646489,25-50%,>50%,Q4_high_count,0.0
debug_ensemble_5normal,256,15,0.0,0.0,0.0,72,0.2777777777777778,0.7777777777777778,0.06030701754385965,25-50%,<=10%,Q3,0.0
debug_ensemble_5normal,257,5,0.0,0.0,0.4,34,0.14705882352941177,0.3235294117647059,0.04417448923246825,<=25%,<=10%,Q1_low_count,0.08000000000000002
debug_ensemble_5normal,260,17,0.0,0.0,0.0,73,0.8904109589041096,1.0,0.1706239646604086,>75%,10-20%,Q3,0.0
debug_ensemble_5normal,261,30,0.2,0.8,0.9666666666666667,14,1.0,1.0,0.11570247933884298,>75%,10-20%,Q1_low_count,0.5333333333333333
debug_ensemble_5normal,268,25,0.0,0.0,0.04,106,0.27358490566037735,0.6792452830188679,0.6681034482758621,25-50%,>50%,Q4_high_count,0.008
debug_ensemble_5normal,269,7,0.0,0.0,0.2857142857142857,33,0.5454545454545454,1.0,0.6658595641646489,50-75%,>50%,Q1_low_count,0.05714285714285714
debug_ensemble_5normal,271,14,0.0,0.0,0.0,79,0.35443037974683544,0.9746835443037974,0.16920731707317074,25-50%,10-20%,Q3,0.0
debug_ensemble_5normal,276,33,0.0,0.0,0.0,252,0.11507936507936507,0.3055555555555556,0.08662280701754387,<=25%,<=10%,Q4_high_count,0.0
