model,date_basis,date,n,pred_top1_ships,true_ships,gallery_day_count,gallery_day_fraction,pred_gallery_count_mean,pred_ship_max_day_fraction_mean,hit1,hit3,hit5,Score
projection_clip_trainonly,pred_top1_majority_date,2020-08-14,57,4,35,85.0,0.0647865853658536,30.31578947368421,0.6355762400654041,0.05263157894736842,0.12280701754385964,0.12280701754385964,0.08771929824561403
projection_clip_trainonly,pred_top1_majority_date,2020-08-15,1,1,1,43.0,0.0327743902439024,98.0,0.3571428571428571,0.0,0.0,1.0,0.2
projection_clip_trainonly,pred_top1_majority_date,2020-08-18,48,3,33,224.0,0.1707317073170731,50.125,0.4457236842105263,0.020833333333333332,0.041666666666666664,0.041666666666666664,0.03125
projection_clip_trainonly,pred_top1_majority_date,2020-08-19,20,4,12,222.0,0.1692073170731707,66.6,0.29808288860465454,0.05,0.05,0.1,0.060000000000000005
projection_clip_trainonly,pred_top1_majority_date,2020-08-21,47,4,31,164.0,0.125,32.87234042553192,0.7545640257008189,0.0,0.06382978723404255,0.06382978723404255,0.031914893617021274
projection_clip_trainonly,pred_top1_majority_date,2020-08-22,2,1,2,105.0,0.080030487804878,48.0,0.3125,0.0,0.0,0.0,0.0
projection_clip_trainonly,pred_top1_majority_date,2020-09-25,1,1,1,155.0,0.6681034482758621,106.0,0.2735849056603773,1.0,1.0,1.0,1.0
projection_clip_trainonly,pred_top1_majority_date,2020-10-30,19,4,14,275.0,0.6658595641646489,56.94736842105263,0.3372978208862076,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736841
projection_clip_trainonly,pred_top1_majority_date,2020-11-06,6,1,5,9.0,0.0199556541019955,36.0,0.1666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2
projection_clip_trainonly,pred_top1_majority_date,2020-11-28,5,1,4,32.0,0.0709534368070953,36.0,0.2777777777777778,0.0,0.2,0.2,0.1
projection_clip_trainonly,pred_top1_majority_date,2020-11-29,2,1,2,17.0,0.0376940133037694,34.0,0.3529411764705882,0.0,0.0,0.0,0.0
projection_clip_trainonly,pred_top1_majority_date,2020-12-04,11,1,10,309.0,0.1706239646604086,45.0,0.2888888888888888,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
projection_clip_trainonly,pred_top1_majority_date,2021-01-08,24,2,19,206.0,0.1557067271352985,39.25,0.3445512820512821,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
projection_clip_trainonly,pred_top1_majority_date,2021-02-11,72,1,49,208.0,0.22807017543859642,21.0,0.9523809523809523,0.013888888888888888,0.06944444444444445,0.09722222222222222,0.04722222222222222
projection_clip_trainonly,pred_top1_majority_date,2021-02-12,5,1,5,139.0,0.1524122807017544,49.0,0.5510204081632653,0.0,0.0,0.0,0.0
projection_clip_trainonly,pred_top1_majority_date,2021-02-14,908,1,86,148.0,0.1622807017543859,9.0,1.0,0.09801762114537445,0.10792951541850221,0.1277533039647577,0.10693832599118942
quick_target100_mel96_f16000,pred_top1_majority_date,2020-07-24,4,1,4,21.0,0.0867768595041322,57.0,0.3684210526315789,0.0,0.0,0.25,0.05
quick_target100_mel96_f16000,pred_top1_majority_date,2020-07-27,18,2,15,69.0,0.2851239669421487,33.833333333333336,1.0,0.0,0.05555555555555555,0.05555555555555555,0.027777777777777776
quick_target100_mel96_f16000,pred_top1_majority_date,2020-07-29,18,1,13,28.0,0.11570247933884288,14.0,1.0,0.2222222222222222,0.2222222222222222,0.2777777777777778,0.2333333333333333
quick_target100_mel96_f16000,pred_top1_majority_date,2020-07-30,2,1,2,42.0,0.1735537190082644,50.0,0.38,0.0,0.0,0.0,0.0
