model,date_basis,date,n,pred_top1_ships,true_ships,gallery_day_count,gallery_day_fraction,true_gallery_count_mean,true_ship_max_day_fraction_mean,hit1,hit3,hit5,Score
debug_ensemble_5normal,true_ship_majority_date,2021-01-07,7,1,1,97.0,0.07331821617535901,46.0,0.1739130434782608,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2021-01-08,25,3,3,206.0,0.1557067271352985,42.4,0.48883710407239817,0.0,0.0,0.08,0.016
debug_ensemble_5normal,true_ship_majority_date,2021-01-10,7,1,1,65.0,0.0491307634164777,39.0,0.1794871794871795,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2021-01-16,6,1,1,44.0,0.0332577475434618,31.0,0.22580645161290316,0.0,0.0,0.16666666666666666,0.03333333333333333
debug_ensemble_5normal,true_ship_majority_date,2021-01-21,20,3,1,47.0,0.0355253212396069,141.0,0.2340425531914893,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2021-01-22,17,1,1,71.0,0.0536659108087679,62.0,0.2741935483870967,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2021-01-27,12,1,1,32.0,0.0241874527588813,81.0,0.1481481481481481,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2021-01-31,13,2,1,47.0,0.0355253212396069,51.0,0.39215686274509803,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2021-02-01,15,1,1,55.0,0.0603070175438596,72.0,0.2777777777777778,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2021-02-11,22,8,2,208.0,0.2280701754385964,23.727272727272727,0.8070101941069684,0.0,0.5909090909090909,0.6363636363636364,0.30454545454545456
debug_ensemble_5normal,true_ship_majority_date,2021-02-12,27,4,2,139.0,0.1524122807017544,45.148148148148145,0.4853529487675829,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2021-02-13,33,6,1,79.0,0.0866228070175438,252.0,0.115079365079365,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2021-02-14,154,10,3,148.0,0.1622807017543859,38.77922077922078,0.8649834910851861,0.5909090909090909,0.6233766233766234,0.6233766233766234,0.6071428571428572
projection_clip_trainonly,true_ship_majority_date,2020-07-24,8,5,1,21.0,0.0867768595041322,57.0,0.3684210526315789,0.25,0.25,0.25,0.25
projection_clip_trainonly,true_ship_majority_date,2020-07-27,18,11,2,69.0,0.2851239669421487,35.0,1.0,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.1111111111111111
projection_clip_trainonly,true_ship_majority_date,2020-07-29,30,13,1,28.0,0.1157024793388429,14.0,1.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
projection_clip_trainonly,true_ship_majority_date,2020-07-30,14,10,1,42.0,0.1735537190082644,50.0,0.38,0.0,0.0,0.21428571428571427,0.04285714285714286
projection_clip_trainonly,true_ship_majority_date,2020-07-31,46,16,2,65.0,0.268595041322314,30.782608695652176,0.852437417654809,0.08695652173913043,0.2391304347826087,0.30434782608695654,0.17608695652173914
projection_clip_trainonly,true_ship_majority_date,2020-08-01,44,19,3,74.0,0.0564024390243902,53.40909090909091,0.5353896103896104,0.022727272727272728,0.11363636363636363,0.20454545454545456,0.08636363636363636
projection_clip_trainonly,true_ship_majority_date,2020-08-03,12,8,1,27.0,0.0205792682926829,23.0,0.5652173913043478,0.0,0.0,0.16666666666666666,0.03333333333333333
projection_clip_trainonly,true_ship_majority_date,2020-08-04,7,6,1,17.0,0.0129573170731707,34.0,0.4117647058823529,0.0,0.0,0.14285714285714285,0.02857142857142857
projection_clip_trainonly,true_ship_majority_date,2020-08-05,14,10,1,25.0,0.0190548780487804,42.0,0.5952380952380952,0.0,0.14285714285714285,0.2857142857142857,0.09999999999999999
projection_clip_trainonly,true_ship_majority_date,2020-08-11,20,10,2,56.0,0.0426829268292682,43.5,0.47355769230769235,0.0,0.1,0.2,0.07
projection_clip_trainonly,true_ship_majority_date,2020-08-13,6,6,1,49.0,0.0373475609756097,28.0,0.35714285714285704,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666
projection_clip_trainonly,true_ship_majority_date,2020-08-14,48,16,4,85.0,0.0647865853658536,28.291666666666668,0.6512326521517698,0.0625,0.125,0.25,0.11875000000000001
projection_clip_trainonly,true_ship_majority_date,2020-08-15,15,5,1,43.0,0.0327743902439024,98.0,0.3571428571428571,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-08-18,38,15,3,224.0,0.1707317073170731,52.31578947368421,0.4090489381348107,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.039473684210526314
