retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
hybrid,5.0,"(0.5, 0.3, 0.2)",0.0,0.014735432016075016,0.04822505023442733,0.08305425318151373,0.038446081714668456
hybrid,10.0,"(0.6, 0.3, 0.1)",0.0,0.015405224380442064,0.04688546550569324,0.08305425318151373,0.038379102478231744
hybrid,5.0,"(0.4, 0.4, 0.2)",0.01,0.013395847287340924,0.052243804420629605,0.07903549899531145,0.038178164768921635
topk,5.0,,0.005,0.012056262558606833,0.05291359678499665,0.0810448760884126,0.03811118553248494
hybrid,5.0,"(0.6, 0.3, 0.1)",0.0,0.014735432016075016,0.047555257870060284,0.08238446081714669,0.03811118553248493
hybrid,5.0,"(0.5, 0.3, 0.2)",0.01,0.012056262558606833,0.05291359678499665,0.08037508372404555,0.037977227059611526
max,,,0.01,0.011386470194239785,0.05626255860683188,0.07635632953784327,0.037843268586738116
prototype,,,0.01,0.017414601473543203,0.046215673141326186,0.07568653717347622,0.037709310113864705
hybrid,5.0,"(0.3, 0.5, 0.2)",0.005,0.012056262558606833,0.04822505023442733,0.08573342263898191,0.03764233087742799
prototype,,,0.005,0.017414601473543203,0.044876088412592094,0.07702612190221031,0.037575351640991295
prototype,,,0.02,0.014735432016075016,0.050904219691895514,0.07300736771600803,0.03724045545880777
hybrid,3.0,"(0.5, 0.3, 0.2)",0.01,0.011386470194239785,0.052243804420629605,0.0783657066309444,0.03703951774949765
hybrid,3.0,"(0.6, 0.3, 0.1)",0.005,0.012056262558606833,0.04956463496316142,0.07970529135967849,0.036838580040187544
hybrid,10.0,"(0.3, 0.5, 0.2)",0.005,0.01406563965170797,0.044876088412592094,0.08171466845277964,0.036838580040187544
hybrid,10.0,"(0.3, 0.5, 0.2)",0.01,0.012056262558606833,0.04956463496316142,0.07970529135967849,0.036838580040187544
hybrid,5.0,"(0.6, 0.3, 0.1)",0.005,0.011386470194239785,0.04688546550569324,0.08372404554588078,0.036503683858004024
prototype,,,0.03,0.012726054922973878,0.05023442732752847,0.07434695244474213,0.0363027461486939
hybrid,10.0,"(0.6, 0.3, 0.1)",0.005,0.010716677829872739,0.04822505023442733,0.08171466845277964,0.0361687876758205
hybrid,10.0,"(0.4, 0.4, 0.2)",0.01,0.010046885465505693,0.04956463496316142,0.0810448760884126,0.03610180843938379
hybrid,3.0,"(0.5, 0.3, 0.2)",0.005,0.010716677829872739,0.048894842598794376,0.07903549899531145,0.03583389149363697
hybrid,10.0,"(0.5, 0.3, 0.2)",0.005,0.010046885465505693,0.048894842598794376,0.07970529135967849,0.03563295378432686
hybrid,3.0,"(0.4, 0.4, 0.2)",0.005,0.012056262558606833,0.04688546550569324,0.07702612190221031,0.03549899531145345
hybrid,5.0,"(0.4, 0.4, 0.2)",0.005,0.009377093101138647,0.04822505023442733,0.08171466845277964,0.03549899531145345
hybrid,10.0,"(0.4, 0.4, 0.2)",0.005,0.010046885465505693,0.047555257870060284,0.0810448760884126,0.03549899531145345
hybrid,10.0,"(0.6, 0.3, 0.1)",0.01,0.010046885465505693,0.04688546550569324,0.0810448760884126,0.03529805760214334
hybrid,5.0,"(0.5, 0.3, 0.2)",0.005,0.010046885465505693,0.047555257870060284,0.07970529135967849,0.03523107836570663
hybrid,10.0,"(0.5, 0.3, 0.2)",0.01,0.009377093101138647,0.047555257870060284,0.07903549899531145,0.0347622237106497
topk,3.0,,0.005,0.008707300736771601,0.04688546550569324,0.07702612190221031,0.033824514400535834
max,,,0.005,0.010046885465505693,0.046215673141326186,0.07032819825853985,0.03295378432685867
