weights,w_r100s123_conservative,w_r80s123_balanced,w_r100s777_conservative,w_r100s123_val086,official_R@1,official_R@3,official_R@5,official_Score,official_top1_unique,official_top1_max_fraction,robust_mean_score,robust_min_score,robust_std_score,robust_mean_top1_max_fraction,balanced_score,conservative_score
"(0.0, 0.6, 0.35, 0.05)",0.0,0.6,0.35,0.05,0.04822505023442733,0.09578030810448761,0.14601473543201607,0.08204956463496316,30,0.5900870730073677,0.12001028878342061,0.09399343031440638,0.02100866593888607,0.499280183924359,0.16054350762448183,0.12904627979216635
"(0.1, 0.9, 0.0, 0.0)",0.1,0.9,0.0,0.0,0.04420629604822505,0.09511051574012057,0.144675150703282,0.0795713328868051,33,0.5766912257200268,0.12022165675906138,0.09449929478138222,0.02212079543658845,0.4869371051209842,0.16053895317855357,0.12682098027749622
"(0.0, 0.7, 0.2, 0.1)",0.0,0.7,0.2,0.1,0.046215673141326186,0.09845947756195579,0.14668452779638314,0.08198258539852646,30,0.5914266577361018,0.11997034231373911,0.09455654622243077,0.021424584845139347,0.49623977360603355,0.1605172021630657,0.12926085850974184
"(0.1, 0.7, 0.1, 0.1)",0.1,0.7,0.1,0.1,0.04554588077695914,0.09845947756195579,0.14400535833891492,0.0811118553248493,30,0.5934360348292029,0.12044090135879415,0.0958235570154857,0.02096200645036626,0.4973472462615809,0.16044912996700583,0.12902363383259213
"(0.2, 0.75, 0.0, 0.05)",0.2,0.75,0.0,0.05,0.043536503683858,0.0971198928332217,0.14601473543201607,0.08010716677829872,33,0.5853985264567984,0.12043345063403935,0.09534555712270804,0.021064880969854264,0.4961370792682798,0.16040361700517236,0.12777994533965276
"(0.1, 0.75, 0.15, 0.0)",0.1,0.75,0.15,0.0,0.044876088412592094,0.09578030810448761,0.14869390488948425,0.08091091761553917,31,0.5833891493636972,0.11976492882728489,0.09446269357109338,0.02191325665578768,0.4950054957710755,0.16039882082381615,0.12814226440108586
"(0.1, 0.75, 0.1, 0.05)",0.1,0.75,0.1,0.05,0.044876088412592094,0.09845947756195579,0.14534494306764903,0.0810448760884126,31,0.5887474882786337,0.120280750079197,0.09474425152510557,0.021728019842033743,0.4950074372457623,0.16038562868836734,0.12841700185096538
"(0.0, 0.95, 0.0, 0.05)",0.0,0.95,0.0,0.05,0.04420629604822505,0.09778968519758875,0.14400535833891492,0.08024112525117214,31,0.5753516409912927,0.11880285855988622,0.09521351478179257,0.02069734966609813,0.4822894773301343,0.16034799505326075,0.12784788264206842
"(0.25, 0.75, 0.0, 0.0)",0.25,0.75,0.0,0.0,0.042866711319490956,0.0971198928332217,0.14735432016075017,0.08004018754186203,32,0.5820495646349632,0.12015666757406804,0.09487541137752703,0.02186542185960636,0.4958601270559127,0.1603271261094491,0.12747789323062553
"(0.15, 0.65, 0.2, 0.0)",0.15,0.65,0.2,0.0,0.046215673141326186,0.09511051574012057,0.14601473543201607,0.08084393837910248,31,0.5894172806430007,0.12049877915953196,0.09479117785077429,0.021861549728047797,0.5009413445582267,0.16032571436757148,0.12823952730448962
"(0.0, 0.8, 0.2, 0.0)",0.0,0.8,0.2,0.0,0.046215673141326186,0.09377093101138648,0.14936369725385132,0.0811118553248493,32,0.5773610180843939,0.11895922670271483,0.09366494603472549,0.022031589486702502,0.4883402891494001,0.1602994023322678,0.12794432834221203
