weights,split,R@1,R@3,R@5,Score,top1_unique_ships,top1_max_ship_fraction,top1_entropy
"(0.0, 0.0, 0.9, 0.1)",random20,0.08643815201192251,0.1810730253353204,0.2503725782414307,0.14761549925484352,29,0.5886736214605067,1.6863571819813108
"(0.0, 0.0, 0.9, 0.1)",latest20,0.06706408345752608,0.1572280178837556,0.22429210134128166,0.12555886736214605,29,0.5998509687034277,1.6517375803900096
"(0.0, 0.0, 0.9, 0.1)",earliest20,0.07153502235469449,0.1527570789865872,0.22205663189269748,0.1260059612518629,28,0.5178837555886736,1.8757014807043069
"(0.0, 0.0, 0.9, 0.1)",month_latest,0.04317221961520413,0.10417644298451431,0.1689347724073205,0.08662599718442046,34,0.21116846550915064,2.5874504930166573
"(0.0, 0.0, 0.9, 0.1)",ais_group_random20,0.05077574047954866,0.10907381288199341,0.1617301363422661,0.09045604137282556,28,0.6022566995768688,1.7468578734005349
"(0.0, 0.0, 0.95, 0.05)",random20,0.08867362146050671,0.1795827123695976,0.2481371087928465,0.14783904619970192,27,0.5804769001490313,1.7138205610416708
"(0.0, 0.0, 0.95, 0.05)",latest20,0.06482861400894188,0.1572280178837556,0.22354694485842028,0.12429210134128167,27,0.5946348733233979,1.6735300521859617
"(0.0, 0.0, 0.95, 0.05)",earliest20,0.07153502235469449,0.15201192250372578,0.22131147540983606,0.1256333830104322,27,0.5134128166915052,1.896072222980663
"(0.0, 0.0, 0.95, 0.05)",month_latest,0.04364148287189113,0.10605349601126232,0.1694040356640075,0.08751759737212575,33,0.21679962458939464,2.565610679600526
"(0.0, 0.0, 0.95, 0.05)",ais_group_random20,0.0465444287729196,0.10860366713681241,0.1622002820874471,0.08829337094499294,28,0.6003761165961448,1.7216895344321927
"(0.0, 0.0, 1.0, 0.0)",random20,0.08718330849478391,0.176602086438152,0.2459016393442623,0.14575260804769002,24,0.5707898658718331,1.7371602840009437
"(0.0, 0.0, 1.0, 0.0)",latest20,0.06110283159463487,0.15350223546944858,0.22503725782414308,0.12160953800298063,26,0.5797317436661699,1.7201694487416181
"(0.0, 0.0, 1.0, 0.0)",earliest20,0.07078986587183309,0.15201192250372578,0.22280178837555886,0.12555886736214605,27,0.5067064083457526,1.912269368632097
"(0.0, 0.0, 1.0, 0.0)",month_latest,0.04364148287189113,0.10417644298451431,0.16752698263725951,0.08657907085875177,31,0.22430783669638668,2.559650776002731
"(0.0, 0.0, 1.0, 0.0)",ais_group_random20,0.04748472026328162,0.10625293841090738,0.1626704278326281,0.08815232722143865,25,0.5952045133991537,1.696988486333791
"(0.0, 0.05, 0.0, 0.95)",random20,0.08494783904619971,0.16393442622950818,0.23621460506706407,0.13889716840536512,31,0.5514157973174366,1.9038397083587948
"(0.0, 0.05, 0.0, 0.95)",latest20,0.06557377049180328,0.14903129657228018,0.21684053651266766,0.12086438152011922,36,0.5439642324888226,1.8339204847629444
"(0.0, 0.05, 0.0, 0.95)",earliest20,0.07228017883755589,0.14605067064083457,0.19746646795827125,0.11944858420268258,36,0.32190760059612517,2.546598578559143
"(0.0, 0.05, 0.0, 0.95)",month_latest,0.03847958704833412,0.10886907555138432,0.15861098076020647,0.08362271234162366,43,0.24870952604411076,2.6285852452842096
"(0.0, 0.05, 0.0, 0.95)",ais_group_random20,0.031969910672308414,0.09685002350728726,0.1476257639868359,0.07456511518570758,40,0.2849083215796897,2.5654262619418566
"(0.0, 0.05, 0.05, 0.9)",random20,0.08271236959761549,0.169150521609538,0.23621460506706407,0.13934426229508196,32,0.5692995529061102,1.8512030567405335
"(0.0, 0.05, 0.05, 0.9)",latest20,0.06929955290611028,0.14754098360655737,0.21907600596125187,0.12272727272727274,34,0.559612518628912,1.7643856690529582
"(0.0, 0.05, 0.05, 0.9)",earliest20,0.07973174366616989,0.14456035767511177,0.19821162444113263,0.122876304023845,38,0.36438152011922503,2.4737437765122037
"(0.0, 0.05, 0.05, 0.9)",month_latest,0.04035664007508212,0.10793054903801032,0.16095729704364148,0.08474894415767245,41,0.25058657907085874,2.5929083786377976
"(0.0, 0.05, 0.05, 0.9)",ais_group_random20,0.03714151386929948,0.09920075223319229,0.152797367183827,0.07889045604137283,37,0.33709449929478136,2.4767072883964167
"(0.0, 0.05, 0.1, 0.85)",random20,0.08420268256333831,0.1721311475409836,0.2406855439642325,0.14187779433681072,29,0.5745156482861401,1.8105417785534224
"(0.0, 0.05, 0.1, 0.85)",latest20,0.07228017883755589,0.1512667660208644,0.22131147540983606,0.1257824143070045,34,0.5715350223546944,1.720588696305478
"(0.0, 0.05, 0.1, 0.85)",earliest20,0.08196721311475409,0.14157973174366617,0.19821162444113263,0.12309985096870342,33,0.39344262295081966,2.4009597707652928
"(0.0, 0.05, 0.1, 0.85)",month_latest,0.04317221961520413,0.10652275926794932,0.1637728765837635,0.08629751290473957,44,0.25058657907085874,2.5795673321608
